,0
Medu,0.01263325371458297
Pedu,0.006757838825189566
SalAm,0.005601239042925243
RelFam,0.004926523952077311
salud,0.004635238014640208
Mtrab_otros,0.004563842403861073
entorno_R,0.004478820676908235
asignatura_M,0.004335327692503732
asignatura_L,0.003502901281411219
extras_si,0.0033446802885755745
TiempoViaje,0.002771993767041003
Ptrab_otros,0.002207568990035114
suspensos,0.0021754774372006124
razon_reputacion,0.0020247025001051354
Mtrab_casa,0.0018396499192043336
apoyo_si,0.0010802933458183618
razon_cercania,0.0009661364828843944
Ptrab_sanidad,0.0007946620788922942
Mtrab_sanidad,0.000746125459395408
razon_otras,0.0005423657608725208
extras_no,0.0005253972974042398
AlcFin,0.00042573441069428954
EstPadres_J,0.0004196037156010135
EstPadres_S,0.00021550069731386402
Mtrab_servicios,0.00013963941687311632
Ptrab_docencia,0.00011889336242081328
tutor_otros,7.528004718917458e-05
EstSup_no,-5.95853879744368e-05
Ptrab_casa,-0.00013547942933112012
razon_otros,-0.00015356570710309825
tutor_madre,-0.00017728685246130028
edad,-0.00029248166549695754
tutor_padre,-0.0005376184792885042
TamFam_<4,-0.0005724050818175286
razon_optativas,-0.0008022905524537549
enfermeria_no,-0.0008151596720486154
enfermeria_si,-0.0008487231030644083
ApFam_si,-0.0008836172389575126
apoyo_no,-0.0009743096546651842
EstSup_si,-0.0010356230628085327
Ptrab_servicios,-0.0010741935407827085
faltas,-0.0010908880329964176
academia_no,-0.0013908053670688147
sexo_M,-0.0015271790146627496
internet_si,-0.0017601471009017545
pareja_no,-0.001966118200287603
TiempoLib,-0.002114982663446696
Mtrab_docencia,-0.0021991143160642324
entorno_U,-0.002519362786482837
sexo_F,-0.0028068548244725377
TamFam_>=4,-0.0028229348041909573
pareja_si,-0.0032437014608024837
academia_si,-0.003459557122635637
escuela_BG,-0.0039028215034784706
AlcSem,-0.004445404602942737
ApFam_no,-0.004462524465717621
escuela_IC,-0.004726402209323766
T1,-0.0055163367064229975
TiempoEstudio,-0.005611535687231673
internet_no,-0.00661644535834025
T2,-0.016541762892718914
